Year,NOC,Sex,Total,Gold,Silver,Bronze,No medal
1900,BEL,M,7,3,3,1,0
1900,FRA,M,13,4,5,4,0
1900,NED,M,0,0,0,0,0
1904,USA,F,10,6,2,2,0
1904,USA,M,18,6,6,6,0
1908,FRA,M,3,1,1,1,0
1908,GBR,F,3,1,1,1,0
1908,GBR,M,2,1,1,0,0
1908,USA,M,1,0,0,1,0
1920,BEL,M,45,32,11,2,0
1920,FRA,M,27,1,18,8,0
1920,NED,M,8,8,0,0,0
1972,AUS,F,0,0,0,0,0
1972,AUS,M,0,0,0,0,0
1972,BEL,M,0,0,0,0,0
1972,CAN,F,0,0,0,0,0
1972,CAN,M,0,0,0,0,0
1972,DEN,F,0,0,0,0,0
1972,DEN,M,0,0,0,0,0
1972,ESP,F,0,0,0,0,0
1972,ESP,M,0,0,0,0,0
1972,FIN,M,1,0,0,1,0
1972,FRA,F,0,0,0,0,0
1972,FRA,M,0,0,0,0,0
1972,FRG,F,0,0,0,0,0
1972,FRG,M,0,0,0,0,0
1972,GBR,F,0,0,0,0,0
1972,GBR,M,0,0,0,0,0
1972,HUN,F,0,0,0,0,0
1972,HUN,M,0,0,0,0,0
1972,INA,F,0,0,0,0,0
1972,ITA,M,0,0,0,0,0
1972,JPN,F,0,0,0,0,0
1972,JPN,M,0,0,0,0,0
1972,LUX,F,0,0,0,0,0
1972,LUX,M,0,0,0,0,0
1972,MEX,F,0,0,0,0,0
1972,MEX,M,0,0,0,0,0
1972,MGL,F,0,0,0,0,0
1972,MGL,M,0,0,0,0,0
1972,NOR,F,0,0,0,0,0
1972,NOR,M,0,0,0,0,0
1972,NZL,M,0,0,0,0,0
1972,PHI,M,0,0,0,0,0
1972,POL,F,1,0,1,0,0
1972,POL,M,0,0,0,0,0
1972,PRK,F,0,0,0,0,0
1972,PUR,M,0,0,0,0,0
1972,SUI,F,0,0,0,0,0
1972,SUI,M,0,0,0,0,0
1972,SWE,F,0,0,0,0,0
1972,SWE,M,1,0,1,0,0
1972,TPE,F,0,0,0,0,0
1972,URS,F,1,0,0,1,0
1972,URS,M,0,0,0,0,0
1972,USA,F,1,1,0,0,0
1972,USA,M,1,1,0,0,0
1976,AUS,F,0,0,0,0,0
1976,AUS,M,0,0,0,0,0
1976,AUT,M,0,0,0,0,0
1976,BEL,M,0,0,0,0,0
