,Year,NOC,Num_Athletes,Female_Ratio,Num_Sports,Num_Events,Rank,Gold,Silver,Bronze,Total,Total_Events,Total_Discipline,Total_Sports,Is_Host
0,1896,Australia,1,1.0,2,5,8.0,2.0,0.0,0.0,2.0,43,10,11,0
1,1896,Austria,3,1.0,3,8,7.0,2.0,1.0,2.0,5.0,43,10,11,0
2,1896,Denmark,3,1.0,5,12,9.0,1.0,2.0,3.0,6.0,43,10,11,0
3,1896,France,12,1.0,6,18,4.0,5.0,4.0,2.0,11.0,43,10,11,0
4,1896,Germany,19,1.0,6,27,3.0,6.0,5.0,2.0,13.0,43,10,11,0
5,1896,Great Britain,10,1.0,7,19,5.0,2.0,3.0,2.0,7.0,43,10,11,0
6,1896,Greece,102,1.0,9,39,2.0,10.0,18.0,19.0,47.0,43,10,11,1
7,1896,Hungary,7,1.0,6,14,6.0,2.0,1.0,3.0,6.0,43,10,11,0
8,1896,Italy,1,1.0,1,1,0.0,0.0,0.0,0.0,0.0,43,10,11,0
9,1896,Sweden,1,1.0,2,5,0.0,0.0,0.0,0.0,0.0,43,10,11,0
10,1896,Switzerland,3,1.0,2,5,10.0,1.0,2.0,0.0,3.0,43,10,11,0
11,1896,United States,14,1.0,3,16,1.0,11.0,7.0,2.0,20.0,43,10,11,0
12,1900,Argentina,1,1.0,1,1,0.0,0.0,0.0,0.0,0.0,97,22,20,0
13,1900,Australia,2,1.0,2,6,9.0,2.0,0.0,3.0,5.0,97,22,20,0
14,1900,Austria,16,1.0,4,17,16.0,0.0,3.0,3.0,6.0,97,22,20,0
15,1900,Belgium,64,1.0,10,31,5.0,6.0,7.0,4.0,17.0,97,22,20,0
16,1900,Brazil,1,1.0,1,3,0.0,0.0,0.0,0.0,0.0,97,22,20,0
17,1900,Canada,4,1.0,1,5,13.0,1.0,0.0,1.0,2.0,97,22,20,0
18,1900,Colombia,1,1.0,1,1,0.0,0.0,0.0,0.0,0.0,97,22,20,0
19,1900,Cuba,1,1.0,1,2,12.0,1.0,1.0,0.0,2.0,97,22,20,0
20,1900,Czech Republic,7,0.7777777777777778,4,9,20.0,0.0,1.0,1.0,2.0,97,22,20,0
21,1900,Denmark,13,1.0,5,14,10.0,1.0,3.0,2.0,6.0,97,22,20,0
22,1900,France,715,0.9850606909430439,19,81,1.0,27.0,39.0,37.0,103.0,97,22,20,1
23,1900,Germany,76,1.0,10,27,7.0,4.0,3.0,2.0,9.0,97,22,20,0
24,1900,Great Britain,104,0.9863013698630136,16,39,3.0,15.0,7.0,9.0,31.0,97,22,20,0
25,1900,Greece,3,1.0,2,3,0.0,0.0,0.0,0.0,0.0,97,22,20,0
26,1900,Haiti,3,1.0,2,4,0.0,0.0,0.0,0.0,0.0,97,22,20,0
27,1900,Hungary,18,1.0,4,21,11.0,1.0,2.0,2.0,5.0,97,22,20,0
28,1900,India,1,1.0,1,5,19.0,0.0,2.0,0.0,2.0,97,22,20,0
29,1900,Iran,1,1.0,1,1,0.0,0.0,0.0,0.0,0.0,97,22,20,0
30,1900,Italy,23,0.9722222222222222,6,17,8.0,3.0,2.0,0.0,5.0,97,22,20,0
31,1900,Luxembourg,1,1.0,1,1,14.0,1.0,0.0,0.0,1.0,97,22,20,0
32,1900,Mexico,1,1.0,1,1,0.0,0.0,0.0,0.0,0.0,97,22,20,0
33,1900,Netherlands,35,1.0,7,18,17.0,0.0,2.0,3.0,5.0,97,22,20,0
34,1900,New Zealand,1,1.0,1,1,0.0,0.0,0.0,0.0,0.0,97,22,20,0
35,1900,Norway,7,1.0,2,9,17.0,0.0,2.0,3.0,5.0,97,22,20,0
36,1900,Peru,1,1.0,1,2,0.0,0.0,0.0,0.0,0.0,97,22,20,0
37,1900,Romania,1,1.0,1,1,0.0,0.0,0.0,0.0,0.0,97,22,20,0
38,1900,Russia,4,1.0,2,3,0.0,0.0,0.0,0.0,0.0,97,22,20,0
39,1900,Spain,9,1.0,4,7,14.0,1.0,0.0,0.0,1.0,97,22,20,0
40,1900,Sweden,10,1.0,4,16,21.0,0.0,0.0,1.0,1.0,97,22,20,0
41,1900,Switzerland,18,0.9423076923076923,4,14,6.0,6.0,2.0,1.0,9.0,97,22,20,0
42,1900,United States,75,0.9333333333333333,10,41,2.0,19.0,14.0,15.0,48.0,97,22,20,0
43,1904,Australia,2,1.0,2,6,12.0,0.0,3.0,1.0,4.0,95,18,16,0
