NOC,Predicted_Gold,Predicted_Silver,Predicted_Bronze,Predicted_Total
United States,39.99949,43.999317,41.998627,125.99744
China,39.99974,27.00025,23.999628,90.99962
Great Britain,14.000253,21.998959,28.997269,64.996475
Russia,19.500067,16.998257,19.947239,56.44556
Australia,17.999493,18.99841,16.000927,52.99883
Japan,20.000061,11.999857,13.000434,45.00035
Italy,11.997421,12.999826,14.999455,39.996704
France,14.095834,13.088238,11.185733,38.369804
Netherlands,14.998336,7.000277,12.001532,34.000145
Germany,12.0014105,13.0016775,7.9997993,33.002888
South Korea,13.001673,9.001146,9.999546,32.002365
Canada,8.999717,7.000372,10.999701,26.999788
Brazil,3.000267,6.9999723,9.999938,20.000177
New Zealand,6.0506,6.0985456,6.92537,19.074516
Hungary,6.0032783,6.997823,6.0034842,19.004585
Spain,5.001156,4.001995,9.000327,18.003479
Belgium,4.1732144,5.3422914,5.458923,14.974428
Denmark,5.0850787,4.007905,4.293184,13.386168
Uzbekistan,7.998912,1.9989206,2.9980195,12.9958515
Iran,2.9993749,6.00083,2.9997063,11.999911
Ukraine,2.9995232,4.9988346,3.9995153,11.997873
Kenya,4.000095,1.9995861,5.0006833,11.000364
Sweden,4.000036,4.00106,2.9986684,10.999764
Argentina,3.1176174,2.9793382,4.7683606,10.865316
Poland,1.001001,4.000987,5.00064,10.002628
Romania,2.9990687,3.9995573,1.9988087,8.997435
Turkey,0.00040653785,2.999402,5.000986,8.000794
Switzerland,1.00048,2.0005684,4.999377,8.000425
Norway,4.000317,1.0001316,2.998977,7.999426
Greece,1.0012034,0.9994867,5.9979734,7.9986634
Kazakhstan,1.0029227,2.9999638,3.001817,7.0047035
Croatia,2.000732,2.000756,3.001745,7.003233
Azerbaijan,1.9984938,2.000859,3.0038302,7.0031834
Ireland,3.9997718,0.00030702024,3.00124,7.001319
Chinese Taipei,2.000308,0.00016941383,4.999221,6.9996986
Israel,0.99917823,4.999986,0.9975849,6.9967494
Egypt,1.6836843,1.8222184,3.1564097,6.6623125
Austria,0.7866104,2.5942698,2.9380043,6.3188844
Jamaica,1.0016235,3.0001104,2.001246,6.0029798
Thailand,1.0009568,3.0006104,2.0013626,6.0029297
South Africa,1.000345,3.0004675,2.001587,6.0023994
India,-6.68152e-05,1.0002134,5.000402,6.0005484
North Korea,0.00010405204,1.9991089,4.0002646,5.9994774
Kyrgyzstan,-0.00022923203,2.000126,3.9992409,5.9991374
Cuba,1.797026,0.90578735,3.0907464,5.79356
Serbia,3.0000572,1.0002986,1.0011847,5.00154
Ecuador,1.0003963,1.9988899,2.0013015,5.0005875
Mexico,-4.032045e-05,2.9997582,1.9996387,4.9993567
Czech Republic,2.9988503,0.00012856608,2.0002325,4.9992113
Nigeria,1.6447102,1.8298802,1.0784292,4.5530195
Bulgaria,1.5775175,0.90677637,1.9596586,4.4439526
Chile,0.9403933,1.4664572,1.6163243,4.023175
Lithuania,0.001768282,2.0004675,2.0006516,4.0028877
Philippines,2.0002034,0.00035659203,2.001247,4.001807
Moldova,-1.6062537e-05,1.0000174,3.0015702,4.0015717
Armenia,-0.00029669364,3.0010412,1.0003793,4.001124
Ethiopia,0.9997856,2.9999132,0.00043912276,4.000138
Hong Kong,2.0007572,0.0006721346,1.9983475,3.9997768
Portugal,0.9994822,2.0000823,0.99825406,3.9978185
Bahrain,2.0004153,0.9997858,0.9974254,3.9976265
Colombia,-0.0004438767,2.9998026,0.9981317,3.9974904
Indonesia,2.000269,0.0008024258,1.0006253,3.0016966
Slovenia,1.9994547,1.0006435,0.0015981207,3.0016963
Tajikistan,-0.00025904455,-0.00010364531,3.000176,2.9998133
Dominican Republic,0.99921334,0.00021542917,1.9989713,2.9984002
Algeria,1.9986169,-0.00038942276,0.9986485,2.996876
Cyprus,0.005595522,1.0076828,1.7791876,2.792466
Vietnam,-0.008647574,0.9563117,1.7598524,2.7075167
Tunisia,0.12767756,1.0304883,1.4532973,2.611463
Slovakia,1.023244,-0.030958097,1.1804779,2.1727638
Puerto Rico,0.00022499927,5.266385e-05,2.0059268,2.0062046
Uganda,1.0007129,0.99978215,0.0029998405,2.0034947
Guatemala,1.0025742,-0.00044441133,0.9996135,2.0017433
Malaysia,-0.00016703816,0.0008986959,2.0009997,2.0017314
Morocco,0.9999928,-0.0006319823,1.0016863,2.0010471
Grenada,-0.00016619095,0.00010435142,2.000319,2.0002573
Kosovo,-0.0012043194,0.99991,1.0008531,1.9995587
Albania,-0.0005942072,0.00066919986,1.995923,1.995998
Georgia,0.12946784,0.97528046,0.62950915,1.7342575
Venezuela,0.13465233,1.0052669,0.5674189,1.7073381
Mongolia,0.11440468,0.78315157,0.582373,1.4799292
Liberia,-0.00018957055,0.0016663984,1.0267807,1.0282576
Ivory Coast,0.0012108422,4.2777672e-05,1.002002,1.0032556
Singapore,-0.000551487,0.00030725068,1.0008953,1.000651
Panama,-0.0003327272,1.0005299,0.00037936197,1.0005765
Qatar,-2.0163814e-05,-0.0003935119,0.9991735,0.99875987
Cayman Islands,0.4993643,0.49974772,-0.00044400018,0.998668
Saint Lucia,0.4993643,0.49974772,-0.00044400018,0.998668
Fiji,-0.0019802556,0.99958783,7.549739e-05,0.9976831
Zambia,-0.0005486931,-0.0018159548,0.9984722,0.9961076
Peru,0.019413644,-0.039811887,0.79843056,0.7780323
Botswana,-0.0041421824,0.00059541257,0.77320933,0.76966256
SSD,0.008757771,0.0022582314,0.40399417,0.41501018
Bolivia,0.3319696,-0.0003861257,-0.0008418289,0.33074164
Dominica,0.3319696,-0.0003861257,-0.0008418289,0.33074164
Saint Vincent and the Grenadines,0.3319696,-0.0003861257,-0.0008418289,0.33074164
Pakistan,3.818941e-05,0.001216191,0.3203068,0.3215612
Ghana,-0.0017285249,-0.0032871226,0.22846183,0.22344619
United Arab Emirates,-0.0009692428,0.000787568,0.16350669,0.16332501
Angola,0.00079357985,-0.0012194124,0.035996463,0.03557063
Jordan,-0.0009692428,-0.00055809494,0.022224862,0.020697525
Bahamas,0.0018644675,0.0012962084,0.002193256,0.0053539323
Mauritius,0.0010612849,0.0010413803,0.0006747984,0.0027774635
Trinidad and Tobago,0.0013225111,0.00024665482,0.00096495816,0.002534124
Guam,-7.185591e-05,0.00015469975,0.0017942548,0.0018770986
Paraguay,0.0001039775,0.00091999286,0.00077424094,0.0017982112
Eritrea,0.0004290435,0.00042603153,0.000802411,0.001657486
Kuwait,0.0007436412,0.00066802785,1.2552998e-07,0.0014117946
Estonia,-0.00038400802,0.000488543,0.0007794113,0.0008839463
Lebanon,0.00029648456,8.047307e-05,0.00024387777,0.0006208354
Suriname,0.00029648456,8.047307e-05,0.00023105922,0.00060801685
Gambia,0.0006085023,-2.0291618e-05,-8.647479e-06,0.0005795632
Bangladesh,0.00018045476,8.452833e-05,0.00018979395,0.00045477704
Virgin Islands,0.00018045476,8.452833e-05,0.00018979395,0.00045477704
British Virgin Islands,8.195914e-05,-5.576258e-05,0.00038077272,0.00040696928
Iceland,0.00035548088,0.00018693323,-0.00016419153,0.0003782226
Kiribati,0.00013572896,5.0219274e-05,8.680526e-05,0.00027275347
Bhutan,0.00013572896,5.0219274e-05,8.680526e-05,0.00027275347
Chad,0.00013572896,5.0219274e-05,8.680526e-05,0.00027275347
Mauritania,0.00018472823,-4.5637928e-05,0.00012014387,0.00025923416
