Year,Sport,NOC,Sex,Legendary_Index,Predicted_Legendary_Coach
1988,Archery,ARG,M,0.36292055,False
2024,Archery,ARG,M,0.544598,False
2000,Archery,ASA,M,0.544598,False
1972,Archery,AUS,F,0.3548772,False
1976,Archery,AUS,F,0.3548772,False
1980,Archery,AUS,F,0.3548772,False
1984,Archery,AUS,F,0.36292055,False
1996,Archery,AUS,F,0.544598,False
2000,Archery,AUS,F,0.544598,False
2004,Archery,AUS,F,0.544598,False
2008,Archery,AUS,F,0.544598,False
2012,Archery,AUS,F,0.544598,False
2016,Archery,AUS,F,0.544598,False
2020,Archery,AUS,F,0.544598,False
2024,Archery,AUS,F,0.544598,False
1972,Archery,AUS,M,0.3548772,False
1976,Archery,AUS,M,0.3548772,False
1980,Archery,AUS,M,0.3548772,False
1984,Archery,AUS,M,0.36292055,False
1988,Archery,AUS,M,0.36292055,False
1992,Archery,AUS,M,0.37866002,False
1996,Archery,AUS,M,0.544598,False
2000,Archery,AUS,M,0.6231164,False
2004,Archery,AUS,M,0.5603971,False
2008,Archery,AUS,M,0.544598,False
2012,Archery,AUS,M,0.544598,False
2016,Archery,AUS,M,0.57598037,False
2020,Archery,AUS,M,0.544598,False
2024,Archery,AUS,M,0.544598,False
1984,Archery,AUT,F,0.36292055,False
2016,Archery,AUT,F,0.544598,False
2024,Archery,AUT,F,0.544598,False
1976,Archery,AUT,M,0.3548772,False
1980,Archery,AUT,M,0.3548772,False
2016,Archery,AZE,F,0.544598,False
2024,Archery,AZE,F,0.544598,False
2016,Archery,BAN,F,0.544598,False
2020,Archery,BAN,F,0.544598,False
2012,Archery,BAN,M,0.544598,False
2020,Archery,BAN,M,0.544598,False
2024,Archery,BAN,M,0.544598,False
1984,Archery,BEL,F,0.36292055,False
1900,Archery,BEL,M,0.5703726,False
1920,Archery,BEL,M,0.5812335,False
1972,Archery,BEL,M,0.3548772,False
1976,Archery,BEL,M,0.3548772,False
1980,Archery,BEL,M,0.3548772,False
1984,Archery,BEL,M,0.36292055,False
1988,Archery,BEL,M,0.36292055,False
1992,Archery,BEL,M,0.37866002,False
1996,Archery,BEL,M,0.544598,False
2000,Archery,BEL,M,0.544598,False
2016,Archery,BEL,M,0.544598,False
2020,Archery,BEL,M,0.544598,False
1984,Archery,BHU,F,0.36292055,False
1992,Archery,BHU,F,0.37866002,False
1996,Archery,BHU,F,0.544598,False
2000,Archery,BHU,F,0.544598,False
2004,Archery,BHU,F,0.544598,False
2008,Archery,BHU,F,0.544598,False
2012,Archery,BHU,F,0.544598,False
2016,Archery,BHU,F,0.544598,False
2020,Archery,BHU,F,0.544598,False
1984,Archery,BHU,M,0.36292055,False
1988,Archery,BHU,M,0.36292055,False
1992,Archery,BHU,M,0.37866002,False
1996,Archery,BHU,M,0.544598,False
2000,Archery,BHU,M,0.544598,False
2004,Archery,BHU,M,0.544598,False
2008,Archery,BHU,M,0.544598,False
2024,Archery,BHU,M,0.544598,False
1996,Archery,BLR,F,0.544598,False
2000,Archery,BLR,F,0.544598,False
2004,Archery,BLR,F,0.544598,False
2008,Archery,BLR,F,0.544598,False
2012,Archery,BLR,F,0.544598,False
2020,Archery,BLR,F,0.544598,False
2004,Archery,BLR,M,0.544598,False
2008,Archery,BLR,M,0.544598,False
2016,Archery,BLR,M,0.544598,False
1980,Archery,BRA,F,0.3548772,False
2016,Archery,BRA,F,0.544598,False
2020,Archery,BRA,F,0.544598,False
2024,Archery,BRA,F,0.544598,False
1980,Archery,BRA,M,0.3548772,False
1984,Archery,BRA,M,0.36292055,False
1988,Archery,BRA,M,0.36292055,False
1992,Archery,BRA,M,0.37866002,False
2008,Archery,BRA,M,0.544598,False
2012,Archery,BRA,M,0.544598,False
2016,Archery,BRA,M,0.544598,False
2020,Archery,BRA,M,0.544598,False
2024,Archery,BRA,M,0.544598,False
1980,Archery,BUL,F,0.3548772,False
1980,Archery,BUL,M,0.3548772,False
1992,Archery,BUL,M,0.37866002,False
1996,Archery,BUL,M,0.544598,False
2004,Archery,BUL,M,0.544598,False
