index,Year,Total,Gold,Silver,Bronze,No medal,Sport,NOC,Sex
0,1988,0,0,0,0,2,Archery,ARG,M
1,2024,0,0,0,0,1,Archery,ARG,M
0,2000,0,0,0,0,1,Archery,ASA,M
0,1972,0,0,0,0,1,Archery,AUS,F
1,1976,0,0,0,0,2,Archery,AUS,F
2,1980,0,0,0,0,2,Archery,AUS,F
3,1984,0,0,0,0,1,Archery,AUS,F
4,1996,0,0,0,0,2,Archery,AUS,F
5,2000,0,0,0,0,6,Archery,AUS,F
6,2004,0,0,0,0,6,Archery,AUS,F
7,2008,0,0,0,0,2,Archery,AUS,F
8,2012,0,0,0,0,1,Archery,AUS,F
9,2016,0,0,0,0,1,Archery,AUS,F
10,2020,0,0,0,0,2,Archery,AUS,F
11,2024,0,0,0,0,2,Archery,AUS,F
0,1972,0,0,0,0,2,Archery,AUS,M
1,1976,0,0,0,0,2,Archery,AUS,M
2,1980,0,0,0,0,1,Archery,AUS,M
3,1984,0,0,0,0,1,Archery,AUS,M
4,1988,0,0,0,0,6,Archery,AUS,M
5,1992,0,0,0,0,6,Archery,AUS,M
6,1996,0,0,0,0,6,Archery,AUS,M
7,2000,1,1,0,0,5,Archery,AUS,M
8,2004,1,0,0,1,5,Archery,AUS,M
9,2008,0,0,0,0,6,Archery,AUS,M
10,2012,0,0,0,0,1,Archery,AUS,M
11,2016,3,0,0,3,3,Archery,AUS,M
12,2020,0,0,0,0,7,Archery,AUS,M
13,2024,0,0,0,0,2,Archery,AUS,M
0,1984,0,0,0,0,1,Archery,AUT,F
1,2016,0,0,0,0,1,Archery,AUT,F
2,2024,0,0,0,0,1,Archery,AUT,F
0,1976,0,0,0,0,1,Archery,AUT,M
1,1980,0,0,0,0,1,Archery,AUT,M
0,2016,0,0,0,0,1,Archery,AZE,F
1,2024,0,0,0,0,1,Archery,AZE,F
0,2016,0,0,0,0,1,Archery,BAN,F
1,2020,0,0,0,0,2,Archery,BAN,F
0,2012,0,0,0,0,1,Archery,BAN,M
1,2020,0,0,0,0,2,Archery,BAN,M
2,2024,0,0,0,0,1,Archery,BAN,M
0,1984,0,0,0,0,2,Archery,BEL,F
0,1900,7,3,3,1,1,Archery,BEL,M
1,1920,45,32,11,2,6,Archery,BEL,M
2,1972,0,0,0,0,3,Archery,BEL,M
3,1976,0,0,0,0,2,Archery,BEL,M
4,1980,0,0,0,0,2,Archery,BEL,M
5,1984,0,0,0,0,3,Archery,BEL,M
6,1988,0,0,0,0,6,Archery,BEL,M
7,1992,0,0,0,0,1,Archery,BEL,M
8,1996,0,0,0,0,1,Archery,BEL,M
9,2000,0,0,0,0,1,Archery,BEL,M
10,2016,0,0,0,0,1,Archery,BEL,M
11,2020,0,0,0,0,1,Archery,BEL,M
0,1984,0,0,0,0,3,Archery,BHU,F
1,1992,0,0,0,0,6,Archery,BHU,F
2,1996,0,0,0,0,1,Archery,BHU,F
3,2000,0,0,0,0,1,Archery,BHU,F
4,2004,0,0,0,0,1,Archery,BHU,F
5,2008,0,0,0,0,1,Archery,BHU,F
6,2012,0,0,0,0,1,Archery,BHU,F
7,2016,0,0,0,0,1,Archery,BHU,F
8,2020,0,0,0,0,1,Archery,BHU,F
0,1984,0,0,0,0,3,Archery,BHU,M
1,1988,0,0,0,0,6,Archery,BHU,M
2,1992,0,0,0,0,6,Archery,BHU,M
3,1996,0,0,0,0,1,Archery,BHU,M
4,2000,0,0,0,0,1,Archery,BHU,M
5,2004,0,0,0,0,1,Archery,BHU,M
6,2008,0,0,0,0,1,Archery,BHU,M
7,2024,0,0,0,0,1,Archery,BHU,M
0,1996,0,0,0,0,2,Archery,BLR,F
1,2000,0,0,0,0,2,Archery,BLR,F
2,2004,0,0,0,0,1,Archery,BLR,F
3,2008,0,0,0,0,1,Archery,BLR,F
4,2012,0,0,0,0,1,Archery,BLR,F
5,2020,0,0,0,0,6,Archery,BLR,F
0,2004,0,0,0,0,1,Archery,BLR,M
1,2008,0,0,0,0,1,Archery,BLR,M
2,2016,0,0,0,0,1,Archery,BLR,M
0,1980,0,0,0,0,1,Archery,BRA,F
1,2016,0,0,0,0,6,Archery,BRA,F
2,2020,0,0,0,0,2,Archery,BRA,F
3,2024,0,0,0,0,2,Archery,BRA,F
0,1980,0,0,0,0,1,Archery,BRA,M
1,1984,0,0,0,0,1,Archery,BRA,M
2,1988,0,0,0,0,2,Archery,BRA,M
3,1992,0,0,0,0,2,Archery,BRA,M
4,2008,0,0,0,0,1,Archery,BRA,M
5,2012,0,0,0,0,1,Archery,BRA,M
6,2016,0,0,0,0,6,Archery,BRA,M
7,2020,0,0,0,0,2,Archery,BRA,M
8,2024,0,0,0,0,2,Archery,BRA,M
0,1980,0,0,0,0,1,Archery,BUL,F
0,1980,0,0,0,0,1,Archery,BUL,M
1,1992,0,0,0,0,1,Archery,BUL,M
2,1996,0,0,0,0,1,Archery,BUL,M
3,2004,0,0,0,0,1,Archery,BUL,M
4,2008,0,0,0,0,1,Archery,BUL,M
5,2012,0,0,0,0,1,Archery,BUL,M
0,2000,0,0,0,0,1,Archery,CAF,F
0,1972,0,0,0,0,3,Archery,CAN,F
1,1976,0,0,0,0,2,Archery,CAN,F
2,1984,0,0,0,0,3,Archery,CAN,F
3,1988,0,0,0,0,1,Archery,CAN,F
4,2004,0,0,0,0,1,Archery,CAN,F
5,2008,0,0,0,0,1,Archery,CAN,F
6,2012,0,0,0,0,1,Archery,CAN,F
7,2016,0,0,0,0,1,Archery,CAN,F
8,2020,0,0,0,0,2,Archery,CAN,F
9,2024,0,0,0,0,2,Archery,CAN,F
0,1972,0,0,0,0,3,Archery,CAN,M
1,1976,0,0,0,0,2,Archery,CAN,M
2,1988,0,0,0,0,6,Archery,CAN,M
3,1992,0,0,0,0,6,Archery,CAN,M
4,1996,0,0,0,0,6,Archery,CAN,M
5,2000,0,0,0,0,1,Archery,CAN,M
6,2004,0,0,0,0,1,Archery,CAN,M
7,2008,0,0,0,0,6,Archery,CAN,M
8,2012,0,0,0,0,1,Archery,CAN,M
9,2016,0,0,0,0,1,Archery,CAN,M
10,2020,0,0,0,0,2,Archery,CAN,M
11,2024,0,0,0,0,2,Archery,CAN,M
0,2020,0,0,0,0,1,Archery,CHA,F
0,2024,0,0,0,0,1,Archery,CHA,M
0,2000,0,0,0,0,1,Archery,CHI,F
1,2012,0,0,0,0,1,Archery,CHI,F
0,2016,0,0,0,0,1,Archery,CHI,M
1,2020,0,0,0,0,1,Archery,CHI,M
2,2024,0,0,0,0,1,Archery,CHI,M
0,1984,1,0,1,0,2,Archery,CHN,F
1,1988,0,0,0,0,6,Archery,CHN,F
2,1992,3,0,3,0,3,Archery,CHN,F
3,1996,1,0,1,0,5,Archery,CHN,F
4,2000,0,0,0,0,6,Archery,CHN,F
5,2004,3,0,3,0,3,Archery,CHN,F
6,2008,4,1,3,0,2,Archery,CHN,F
7,2012,3,0,3,0,3,Archery,CHN,F
8,2016,0,0,0,0,6,Archery,CHN,F
9,2020,0,0,0,0,7,Archery,CHN,F
10,2024,3,0,3,0,4,Archery,CHN,F
0,1984,0,0,0,0,3,Archery,CHN,M
1,1988,0,0,0,0,6,Archery,CHN,M
2,1992,0,0,0,0,6,Archery,CHN,M
3,1996,0,0,0,0,6,Archery,CHN,M
4,2000,0,0,0,0,6,Archery,CHN,M
5,2004,0,0,0,0,2,Archery,CHN,M
6,2008,3,0,0,3,3,Archery,CHN,M
7,2012,1,0,0,1,5,Archery,CHN,M
8,2016,0,0,0,0,6,Archery,CHN,M
9,2020,0,0,0,0,7,Archery,CHN,M
10,2024,0,0,0,0,7,Archery,CHN,M
0,2012,0,0,0,0,1,Archery,CIV,M
1,2016,0,0,0,0,1,Archery,CIV,M
0,1992,0,0,0,0,1,Archery,COL,F
1,2008,0,0,0,0,6,Archery,COL,F
2,2012,0,0,0,0,1,Archery,COL,F
3,2016,0,0,0,0,6,Archery,COL,F
4,2020,0,0,0,0,2,Archery,COL,F
5,2024,0,0,0,0,2,Archery,COL,F
0,1984,0,0,0,0,1,Archery,COL,M
1,2012,0,0,0,0,1,Archery,COL,M
2,2016,0,0,0,0,1,Archery,COL,M
3,2020,0,0,0,0,2,Archery,COL,M
4,2024,0,0,0,0,7,Archery,COL,M
0,1992,0,0,0,0,1,Archery,CRC,F
0,1976,0,0,0,0,2,Archery,CRC,M
1,1980,0,0,0,0,2,Archery,CRC,M
0,2000,0,0,0,0,2,Archery,CUB,F
1,2004,0,0,0,0,1,Archery,CUB,F
0,2000,0,0,0,0,2,Archery,CUB,M
1,2008,0,0,0,0,1,Archery,CUB,M
2,2012,0,0,0,0,1,Archery,CUB,M
