Name,Sex,Team,NOC,Year,City,Sport,Event,Medal,Legendary_Coach,Unnamed: 0,Num_Athletes,Female_Ratio,Num_Sports,Num_Events,Rank,Gold,Silver,Bronze,Total,Total_Events,Total_Discipline,Total_Sports,Is_Host
Ladislava (hniz-),F,United States,USA,1948,London,Gymnastics,Gymnastics Women's Team All-Around,Bronze,No,,,,,,,,,,,,,,
Marian (twining-),F,United States,USA,1948,London,Gymnastics,Gymnastics Women's Team All-Around,Bronze,No,,,,,,,,,,,,,,
Marian (twining-),F,United States,USA,1952,Helsinki,Gymnastics,Gymnastics Women's Individual All-Around,No medal,No,,,,,,,,,,,,,,
Marian (twining-),F,United States,USA,1952,Helsinki,Gymnastics,Gymnastics Women's Team All-Around,No medal,No,,,,,,,,,,,,,,
Marian (twining-),F,United States,USA,1952,Helsinki,Gymnastics,Gymnastics Women's Team Portable Apparatus,No medal,No,,,,,,,,,,,,,,
Marian (twining-),F,United States,USA,1952,Helsinki,Gymnastics,Gymnastics Women's Floor Exercise,No medal,No,,,,,,,,,,,,,,
Marian (twining-),F,United States,USA,1952,Helsinki,Gymnastics,Gymnastics Women's Horse Vault,No medal,No,,,,,,,,,,,,,,
Marian (twining-),F,United States,USA,1952,Helsinki,Gymnastics,Gymnastics Women's Uneven Bars,No medal,No,,,,,,,,,,,,,,
Marian (twining-),F,United States,USA,1952,Helsinki,Gymnastics,Gymnastics Women's Balance Beam,No medal,No,,,,,,,,,,,,,,
Mohini (-barry),F,United States,USA,2004,Athina,Gymnastics,Gymnastics Women's Individual All-Around,No medal,Yes,,,,,,,,,,,,,,
Mohini (-barry),F,United States,USA,2004,Athina,Gymnastics,Gymnastics Women's Team All-Around,Silver,Yes,,,,,,,,,,,,,,
Mohini (-barry),F,United States,USA,2004,Athina,Gymnastics,Gymnastics Women's Floor Exercise,No medal,Yes,,,,,,,,,,,,,,
Mohini (-barry),F,United States,USA,2004,Athina,Gymnastics,Gymnastics Women's Horse Vault,No medal,Yes,,,,,,,,,,,,,,
Mohini (-barry),F,United States,USA,2004,Athina,Gymnastics,Gymnastics Women's Uneven Bars,No medal,Yes,,,,,,,,,,,,,,
Mohini (-barry),F,United States,USA,2004,Athina,Gymnastics,Gymnastics Women's Balance Beam,No medal,Yes,,,,,,,,,,,,,,
Pamela (-flat),F,United States,USA,1984,Los Angeles,Gymnastics,Gymnastics Women's Individual All-Around,No medal,Yes,,,,,,,,,,,,,,
Pamela (-flat),F,United States,USA,1984,Los Angeles,Gymnastics,Gymnastics Women's Team All-Around,Silver,Yes,,,,,,,,,,,,,,
Pamela (-flat),F,United States,USA,1984,Los Angeles,Gymnastics,Gymnastics Women's Floor Exercise,No medal,Yes,,,,,,,,,,,,,,
Pamela (-flat),F,United States,USA,1984,Los Angeles,Gymnastics,Gymnastics Women's Horse Vault,No medal,Yes,,,,,,,,,,,,,,
Pamela (-flat),F,United States,USA,1984,Los Angeles,Gymnastics,Gymnastics Women's Uneven Bars,No medal,Yes,,,,,,,,,,,,,,
Pamela (-flat),F,United States,USA,1984,Los Angeles,Gymnastics,Gymnastics Women's Balance Beam,No medal,Yes,,,,,,,,,,,,,,
Simone Biles,F,United States,USA,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Individual All-Around,Gold,Yes,,,,,,,,,,,,,,
Simone Biles,F,United States,USA,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,Gold,Yes,,,,,,,,,,,,,,
Simone Biles,F,United States,USA,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Floor Exercise,Gold,Yes,,,,,,,,,,,,,,
Simone Biles,F,United States,USA,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Horse Vault,Gold,Yes,,,,,,,,,,,,,,
Simone Biles,F,United States,USA,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Uneven Bars,No medal,Yes,,,,,,,,,,,,,,
Simone Biles,F,United States,USA,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Balance Beam,Bronze,Yes,,,,,,,,,,,,,,
